1, 3
2, 2
3, 6
4, 3
5, 1
6, 1
7, 12
8, 7
9, 4
10, 3
11, 5
12, 4
13, 9
14, 8
15, 3
16, 2
17, 11
18, 9
19, 2
20, 2
21, 10
22, 3
23, 8
24, 10
25, 8
26, 10
27, 8
28, 1
29, 11
30, 2
31, 6
32, 10
33, 10
34, 11
35, 9
36, 1
37, 4
38, 6
39, 8
40, 8
41, 9
42, 8
43, 7
44, 9
45, 4
46, 10
47, 12
48, 1
49, 5
50, 2
51, 1
52, 10
53, 6
54, 7
55, 11
56, 6
57, 1
58, 10
59, 3
60, 10
61, 7
62, 11
63, 11
64, 5
65, 7
66, 9
67, 8
68, 2
69, 6
70, 6
71, 3
72, 9
73, 6
74, 12
75, 7
76, 7
77, 8
78, 5
79, 7
80, 11
81, 5
82, 8
83, 7
84, 3
85, 4
86, 3
87, 8
88, 9
89, 1
90, 2
91, 7
92, 8
93, 9
94, 12
95, 4
96, 5
97, 11
98, 9
99, 4
100, 10
101, 6
102, 1
103, 2
104, 12
105, 10
106, 1
107, 1
108, 4
109, 3
110, 1
111, 1
112, 1
113, 10
114, 11
115, 7
