1, 8
2, 9
3, 8
4, 9
5, 9
6, 8
7, 9
8, 8
9, 8
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
17, 1
18, 1
19, 14
20, 14
21, 13
22, 14
23, 13
24, 13
25, 14
26, 14
27, 13
28, 4
29, 5
30, 5
31, 5
32, 5
33, 5
34, 5
35, 4
36, 5
37, 7
38, 7
39, 7
40, 7
41, 7
42, 7
43, 7
44, 7
45, 7
46, 6
47, 6
48, 6
49, 6
50, 6
51, 6
52, 6
53, 6
54, 6
55, 2
56, 3
57, 3
58, 3
59, 3
60, 2
61, 2
62, 2
63, 3
64, 10
65, 10
66, 10
67, 10
68, 10
69, 10
70, 10
71, 10
72, 10
73, 11
74, 11
75, 11
76, 11
77, 12
78, 11
79, 11
80, 11
81, 11
